tc_id,requirement_id,design_technique,precondition,steps,expected,source_quote,oracle_reason,gen_confidence
TC-001-001,회원관리>인증>로그인,happy_path,없음,1. 메인에서 '로그인' 클릭 | 2. 아이디 'alice' 입력 | 3. 비밀번호 'aaa' 입력 | 4. '로그인' 클릭,상단에 '로그인: alice' 표시 + '글쓰기' 버튼 노출,"manual.md §2.1 '아이디와 비밀번호를 입력하고 ''로그인'' 버튼을 누르면 로그인된다'",매뉴얼 §2.1 직접 인용. 정상 흐름 검증.,0.92
TC-001-002,회원관리>인증>로그인,negative_basic,없음,1. '로그인' 클릭 | 2. 아이디 빈 채로 '로그인' 클릭,오류 메시지 표시 + 로그인 안 됨,manual.md §2.1 '잘못된 정보 입력 시 오류 메시지가 표시된다',매뉴얼 §2.1 잘못된 정보 경우 명시.,0.85
TC-001-003,회원관리>인증>로그인,negative_deep,없음,1. 아이디 'alice' 입력 | 2. 비밀번호 빈 채로 '로그인' 클릭 | 3. 표시된 메시지 확인,(a) 메시지 입력 필드 근처에 노출 (b) 한국어 (c) 비기술 사용자 이해 가능 (d) 내부 경로·스택 노출 없음,manual.md §5 '잘못된 입력이나 권한 오류 시 적절한 한국어 안내가 표시되어야 한다',§5 명시 + negative_deep 4축 적용.,0.78
TC-001-004,회원관리>인증>로그인,equivalence,없음,영문 'alice' / 숫자 '12345' / 혼합 'alice123' 각각 로그인 시도,모두 정상 로그인,INFERRED: 매뉴얼에 아이디 형식 제약 없음. 입력 도메인 등가분할 일반 관행.,형식 제약 부재 → 도메인별 동등 처리 기대.,0.55
TC-001-005,회원관리>인증>로그인,boundary,없음,아이디 1자 'a' / 64자 'a'*64 로그인 시도,둘 다 정상 또는 명시된 길이 제한에서 거절,INFERRED: 매뉴얼에 아이디 길이 명시 없음. 결함 샘플 F-1 참조해 boundary 적용.,F-1 패턴 — 길이 검증 누락 가능성 점검.,0.45
TC-002-001,회원관리>인증>로그아웃,happy_path,로그인 상태,1. 상단 '로그아웃' 클릭,상단 '로그인' 버튼으로 전환 + 글쓰기 버튼 사라짐,manual.md §2.2 '상단의 ''로그아웃'' 버튼을 누르면 로그아웃된다',§2.2 직접 인용.,0.90
TC-002-002,회원관리>인증>로그아웃,state_transition,비로그인 상태,1. 메인 화면 상단 nav 영역 관찰,'로그아웃' 버튼이 노출되지 않음 ('로그인' 버튼만 노출),INFERRED: 로그인 시에만 로그아웃 버튼 표시 일반 관행.,상태별 UI 차이 검증.,0.65
TC-003-001,게시글관리>작성>글쓰기,happy_path,로그인 상태,1. '글쓰기' 클릭 | 2. 제목 '테스트 글' 입력 | 3. 내용 '본문' 입력 | 4. '등록' 클릭,글 목록 최상단에 새 글 표시,manual.md §3.1 '제목과 내용을 입력하고 ''등록'' 버튼을 누르면 글이 등록된다',§3.1 직접 인용.,0.92
TC-003-002,게시글관리>작성>글쓰기,negative_basic,비로그인 상태,1. nav 영역 관찰,'글쓰기' 버튼이 노출되지 않음,manual.md §3.1 '로그인한 사용자만 글을 작성할 수 있다',§3.1 권한 명시.,0.88
TC-003-003,게시글관리>작성>글쓰기,negative_deep,로그인 상태,1. '글쓰기' 클릭 | 2. 제목 빈 채로 | 3. 내용 빈 채로 | 4. '등록' 클릭 | 5. 메시지 확인,(a) 메시지 적절 위치 (b) 한국어 (c) 이해성 (d) 내부 정보 노출 없음,manual.md §3.1 '내용은 비어 있을 수 없다',§3.1 + §5 결합. 4축 적용.,0.72
TC-003-004,게시글관리>작성>글쓰기,boundary,로그인 상태,1. 제목 'a'(1자) 입력 | 2. 내용 입력 | 3. '등록' 클릭,정상 등록,"INFERRED: 매뉴얼 §3.1 '제목은 적절한 길이로'는 모호. 결함 샘플 F-1 참조해 최소 1자를 합리적 boundary로 채택.","§3.1 모호 + F-1 패턴 (길이 검증 누락 점검). 1자는 적절 길이의 최소.",0.42
TC-003-005,게시글관리>작성>글쓰기,boundary,로그인 상태,1. 제목 'a'*50 (50자) 입력 | 2. 내용 입력 | 3. '등록' 클릭,정상 등록,"INFERRED: §3.1 '적절한 길이'를 50자 상한으로 추정 (DB 일반 컬럼 제약 관례).",INFERRED 추정. 명시값 부재.,0.38
TC-003-006,게시글관리>작성>글쓰기,boundary,로그인 상태,1. 제목 'a'*100 (100자) 입력 | 2. 내용 입력 | 3. '등록' 클릭,길이 초과 시 거절 메시지 또는 정상 등록 (어느 쪽이든 일관),"INFERRED: 50자 상한 가정 시 100자는 초과. F-1 (길이 검증 누락) 직접 점검 목적.","F-1 패턴 — '길이 검증 누락' 결함을 잡기 위함. 매뉴얼이 모호하므로 mockup 실제 동작 관찰 필요.",0.40
TC-003-007,게시글관리>작성>글쓰기,boundary,로그인 상태,1. 제목 빈 문자열 | 2. 내용 '본문' 입력 | 3. '등록' 클릭,거절 또는 입력 요구 메시지,manual.md §3.1 '제목과 내용을 입력하고',§3.1 — 빈 제목은 '입력' 조건 미충족.,0.68
TC-003-008,게시글관리>작성>글쓰기,cross_feature,로그인 상태,1. 글 작성 (정상) | 2. 목록 이동 | 3. 새 글 표시 확인 | 4. 상세 클릭 | 5. 본문 일치 확인,새 글이 목록 최상단에 보이고 상세 진입 시 입력 내용 일치,"manual.md §3.1 + §3.2 + §3.3 결합. '한 페이지에 10개', '작성자·작성일·본문'.",cross — 작성/목록/상세 일관성.,0.75
TC-004-001,게시글관리>조회>목록조회,happy_path,로그인 상태,1. '목록' 클릭,글 목록 표시 (최대 10개),manual.md §3.2 '한 페이지에 10개의 글이 표시되며',§3.2 직접 인용.,0.90
TC-004-002,게시글관리>조회>목록조회,equivalence,비로그인 상태,1. '목록' 클릭,글 목록 정상 표시,manual.md §3.2 '비로그인 사용자도 글 목록을 조회할 수 있다',§3.2 비로그인 권한 명시.,0.92
TC-004-003,게시글관리>조회>목록조회,boundary,모든 글 삭제 후,1. '목록' 클릭,빈 목록 UI (안내 메시지 또는 빈 테이블) 표시 + 화면 깨지지 않음,INFERRED: 매뉴얼에 0개 상태 명시 없음.,경계 조건 — 0개 처리 점검.,0.50
TC-005-001,게시글관리>조회>상세조회,happy_path,글 1개 이상 존재,1. 목록에서 임의 글 클릭,제목·본문·작성자·작성일·댓글 영역 표시,manual.md §3.3 '작성자, 작성일, 본문, 댓글이 표시된다',§3.3 직접 인용.,0.88
TC-005-002,게시글관리>조회>상세조회,negative_basic,없음,1. URL에 존재하지 않는 글 id 직접 접근 (예: javascript:go('detail'9999)),'글을 찾을 수 없습니다' 또는 동등 메시지 표시,INFERRED: 매뉴얼에 미존재 글 처리 명시 없음. 일반 관행.,경계 — 존재하지 않는 자원.,0.55
TC-005-003,게시글관리>조회>상세조회,cross_feature,글 + 댓글 존재,1. 상세 클릭 | 2. 본문·댓글 모두 노출 확인,본문과 모든 댓글이 동일 화면에 표시,manual.md §3.3 '작성자, 작성일, 본문, 댓글이 표시된다',cross — 상세 + 댓글 통합.,0.85
TC-006-001,게시글관리>조회>페이지네이션,happy_path,글 10개 이상,1. '목록' 클릭 | 2. 페이지 1 표시 확인,페이지 1 클릭 영역 + 10개 글 표시,manual.md §3.2 '페이지네이션으로 이동할 수 있다',§3.2 직접 인용.,0.85
TC-006-002,게시글관리>조회>페이지네이션,boundary,글 11개 이상 (마지막 페이지가 1보다 큼),1. '목록' | 2. 마지막 페이지 버튼 클릭,마지막 페이지의 글 정상 표시,INFERRED: 결함 샘플 F-3 참조해 페이지 경계 점검.,F-3 패턴 — 페이지 경계 결함 점검.,0.52
TC-006-003,게시글관리>조회>페이지네이션,boundary,글 11개 이상,1. URL에 javascript:go('list'999) 직접 입력 (마지막+1),빈 페이지 안내 또는 마지막 페이지로 fallback,INFERRED: F-3 패턴 — 범위 초과 처리 점검.,F-3 결함 패턴 점검 (BUG-1 후보).,0.48
TC-006-004,게시글관리>조회>페이지네이션,boundary,글 11개 이상,1. javascript:go('list'0) 입력 (페이지 0),빈 페이지 또는 페이지 1 fallback,INFERRED: F-3 — 페이지 0 (경계 미만) 처리.,F-3 결함 패턴.,0.45
TC-006-005,게시글관리>조회>페이지네이션,boundary,글 11개 이상,1. javascript:go('list'-1) 입력 (음수),빈 페이지 또는 페이지 1 fallback,INFERRED: F-3 — 음수 경계.,F-3 결함 패턴.,0.40
TC-007-001,게시글관리>수정>글수정,happy_path,로그인 alice + alice 글 1개,1. 자기 글 상세 진입 | 2. '수정' 클릭 | 3. 제목 변경 | 4. '저장' 클릭,수정된 내용이 상세에 반영,manual.md §3.4 '제목과 내용을 변경하고 ''저장'' 버튼을 누르면 수정된다',§3.4 직접 인용.,0.88
TC-007-002,게시글관리>수정>글수정,negative_basic,비로그인,1. 임의 글 상세 진입 | 2. '수정' 클릭 또는 수정 폼 URL 직접 접근,수정 폼 진입 거절 또는 로그인 요구 메시지,manual.md §3.4 '자신이 작성한 글만 수정할 수 있다',§3.4 권한 명시. 비로그인 → 권한 없음.,0.82
TC-007-003,게시글관리>수정>글수정,negative_deep,로그인 bob + alice의 글,1. alice의 글 상세 진입 | 2. '수정' 클릭 또는 javascript:go('edit'<id>) | 3. 저장 시도,수정 폼 진입 거절 또는 저장 시 권한 오류,manual.md §3.4 '자신이 작성한 글만 수정할 수 있다',§3.4 + 결함 샘플 F-2 (권한 우회) 매칭. BUG-2 후보.,0.80
TC-007-004,게시글관리>수정>글수정,boundary,자기 글,1. 수정 폼 진입 | 2. 제목 빈 채로 | 3. '저장' 클릭,거절 메시지 또는 입력 요구,INFERRED: 수정 시 빈 제목 검증 매뉴얼 명시 없음. §3.1 작성 시 검증 일관성 추정.,수정과 작성의 검증 일관성.,0.52
TC-007-005,게시글관리>수정>글수정,cross_feature,자기 글,1. 수정 완료 | 2. 목록 이동 | 3. 수정 반영 확인 | 4. 상세 진입 | 5. 본문 반영 확인,목록·상세 모두 수정 후 내용 노출,manual.md §3.4 + §3.2 + §3.3 결합,cross — 수정/목록/상세 일관성.,0.72
TC-008-001,게시글관리>삭제>글삭제,happy_path,로그인 alice + alice 글,1. 자기 글 상세 | 2. '삭제' 클릭 | 3. 확인 OK,글 목록에서 해당 글 사라짐,manual.md §3.5 '확인 후 글이 삭제된다',§3.5 직접 인용.,0.88
TC-008-002,게시글관리>삭제>글삭제,negative_basic,비로그인,1. 임의 글 상세 | 2. '삭제' 클릭,삭제 거절 또는 로그인 요구,manual.md §3.5 '자신이 작성한 글만 삭제할 수 있다',§3.5 권한 명시.,0.82
TC-008-003,게시글관리>삭제>글삭제,negative_deep,로그인 bob + alice의 글,1. alice의 글 상세 | 2. '삭제' 클릭,삭제 거절 + 권한 오류 메시지,manual.md §3.5 + 결함 샘플 F-2,F-2 매칭. BUG-2 후보.,0.80
TC-008-004,게시글관리>삭제>글삭제,cross_feature,자기 글 + 댓글 있음,1. 자기 글 삭제 | 2. 글 목록 확인 (없음) | 3. (가능하면) 댓글 DB 상태 확인,글 삭제 시 해당 댓글도 함께 사라짐,INFERRED: 매뉴얼에 cascade 명시 없음. 데이터 무결성 일반 관행.,cross — 글-댓글 cascade.,0.50
TC-009-001,댓글관리>작성>댓글작성,happy_path,로그인 + 임의 글,1. 상세 진입 | 2. 댓글 입력 | 3. '댓글 작성' 클릭,댓글이 댓글 영역에 표시,manual.md §4.1 '상세 화면에서 댓글 내용을 입력하고 ''댓글 작성''을 누른다',§4.1 직접 인용.,0.88
TC-009-002,댓글관리>작성>댓글작성,negative_basic,비로그인,1. 상세 진입 | 2. 댓글 입력 영역 확인,댓글 입력 영역 미노출 또는 로그인 요구,manual.md §4.1 '로그인한 사용자만 댓글을 작성할 수 있다',§4.1 권한 명시.,0.85
TC-009-003,댓글관리>작성>댓글작성,boundary,로그인,1. 빈 댓글 입력 | 2. '댓글 작성' 클릭,등록 거절 또는 무반응,INFERRED: 빈 댓글 처리 매뉴얼 명시 없음.,경계 — 빈 입력 처리.,0.55
TC-009-004,댓글관리>작성>댓글작성,cross_feature,로그인 + 댓글 작성,1. 댓글 작성 직후 상세 화면 댓글 영역 확인 | 2. 다른 사용자 로그인 후 같은 글 진입,모든 사용자에게 새 댓글 노출,manual.md §3.3 '댓글이 표시된다',cross — 작성/노출 일관성.,0.72
TC-010-001,댓글관리>삭제>댓글삭제,happy_path,로그인 + 댓글 1개+,1. 상세 진입 | 2. 각 댓글의 '삭제' 클릭,댓글이 화면에서 사라짐,manual.md §4.2 '각 댓글의 ''삭제'' 버튼을 눌러 댓글을 삭제할 수 있다',§4.2 직접 인용.,0.85
TC-010-002,댓글관리>삭제>댓글삭제,negative_basic,비로그인,1. 상세 진입 | 2. 댓글 '삭제' 클릭,삭제 거절 또는 UI 미노출,INFERRED: 매뉴얼은 권한 명시 안 함. 댓글 작성과 동일 일관성 추정.,INFERRED — 댓글 작성 권한과 동일하리란 추정.,0.48
